,Sig1,Sig2
E:HH:1:AA,38.9650219473597,8.03497805265033
E:HH:1:BB,1.39426598352149e-12,4.00000000000861
E:HH:2:AA,13.0981623122226,5.90183768778735
E:LD:2:AA,8.09583196495092,4.90416803505908
E:LD:3:AA,6.23763780236522e-12,3.00000000000376
E:LL:2:AA,3.00000000001,2.39672449922552e-16
E:LL:3:AA,31.2504921601134,7.74950783989658
E:LL:4:AA,4.83242066535308e-12,6.00000000000517
E:LL:4:BB,3.68561663204899e-16,5.00000000001
L:HH:1:AA,3.52221459040517,0.477785409604826
L:HH:1:BB,2.9145352801237e-12,1.00000000000709
L:HH:2:AA,5.03638732866861e-12,3.00000000000496
L:LD:2:AA,8.15493655807274e-12,1.00000000000185
L:LL:3:AA,3.2641271421412e-12,3.00000000000674
L:LL:4:AA,1.00000000000958,4.18261496763649e-13
