NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1.425	4.903	0.61	4.934	0.008	0.998	6000.0
2	1.454	4.965	0.712	5.636	0.005	0.998	6000.0
3	0.963	3.325	0.408	3.516	0.003	0.999	6000.0
4	1.821	6.282	0.945	7.117	0.016	0.996	6000.0
5	1.255	4.368	0.737	6.486	0.009	0.994	9000.0
6	1.779	6.097	0.802	6.392	0.01	0.997	6000.0
7	1.261	4.299	0.577	4.726	0.004	0.998	10000.0
8	0.867	2.974	0.459	3.718	0.004	0.999	15000.0
9	1.306	4.524	0.565	4.59	0.007	0.998	7000.0
10	1.587	5.424	0.697	5.12	0.01	0.998	6000.0
11	0.633	2.173	0.306	2.487	0.001	1.0	10000.0
12	1.241	4.259	0.545	4.391	0.003	0.999	6000.0
13	1.007	3.474	0.463	3.765	0.003	0.999	6000.0
14	0.535	1.82	0.276	2.062	0.004	1.0	6000.0
15	0.569	1.94	0.293	2.232	0.0	1.0	15000.0
16	2.092	7.15	0.961	7.514	0.008	0.996	8000.0
17	1.973	6.734	0.862	6.844	0.009	0.996	6000.0
18	1.526	5.211	0.701	5.943	0.008	0.996	10000.0
19	1.049	3.641	0.553	4.698	0.008	0.998	12000.0
20	0.203	0.699	0.107	0.824	0.0	1.0	12000.0
21	2.493	8.505	1.082	8.581	0.008	0.996	7000.0
22	1.099	3.743	0.523	4.232	0.004	0.998	7000.0
23	1.759	6.026	0.78	6.368	0.008	0.996	6000.0
24	2.159	7.414	1.037	8.543	0.008	0.994	6000.0
25	1.865	6.375	0.811	6.878	0.007	0.996	6000.0
26	1.552	5.298	0.717	5.586	0.004	0.998	6000.0
27	1.186	4.083	0.554	4.535	0.003	0.998	7000.0
28	1.168	3.992	0.578	4.504	0.005	0.998	7000.0
29	0.61	2.089	0.303	2.369	0.004	0.999	6000.0
30	1.451	4.934	0.664	5.1	0.009	0.998	6000.0
31	0.839	2.906	0.351	2.956	0.002	0.999	7000.0
32	1.566	5.392	0.737	6.042	0.008	0.997	8000.0
33	1.369	4.684	0.607	4.765	0.007	0.998	6000.0
34	0.924	3.15	0.451	3.65	0.005	0.999	6000.0
35	1.866	6.396	0.841	6.974	0.013	0.996	9000.0
36	0.669	2.279	0.358	2.698	0.001	0.999	8000.0
37	1.685	5.807	0.906	7.13	0.008	0.995	6000.0
