NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	4.498	24.771	2.151	20.242	0.12	0.972	6000.0
2	3.57	20.055	1.824	14.848	0.078	0.991	6000.0
3	2.763	14.791	1.398	12.352	0.065	0.992	6000.0
4	3.859	22.2	1.803	16.113	0.105	0.984	6000.0
5	4.711	26.867	2.412	21.396	0.105	0.974	6000.0
6	3.982	22.694	1.965	16.936	0.087	0.984	6000.0
7	4.245	23.805	2.12	18.959	0.092	0.982	6000.0
8	3.712	20.592	1.773	15.946	0.08	0.988	6000.0
9	4.681	25.534	2.185	20.587	0.113	0.976	6000.0
10	3.737	20.81	1.96	18.196	0.077	0.985	6000.0
11	4.166	23.488	2.218	20.444	0.089	0.978	6000.0
12	4.516	25.333	2.141	19.232	0.107	0.98	6000.0
13	3.485	19.441	1.756	15.512	0.087	0.987	6000.0
14	4.108	22.637	1.942	18.169	0.097	0.983	6000.0
15	3.899	22.171	1.855	16.401	0.097	0.983	6000.0
16	3.224	18.221	1.536	13.953	0.079	0.991	6000.0
17	4.806	27.409	2.506	24.079	0.113	0.972	6000.0
18	2.763	15.131	1.424	12.59	0.072	0.99	6000.0
19	4.239	23.882	1.78	16.47	0.111	0.989	6000.0
20	2.003	11.179	0.913	8.014	0.046	0.996	6000.0
21	4.185	23.986	2.47	21.866	0.066	0.968	6000.0
22	5.04	28.548	2.427	22.626	0.131	0.973	6000.0
23	4.435	24.699	2.161	19.513	0.094	0.978	6000.0
24	3.887	21.977	1.64	15.471	0.112	0.986	6000.0
25	3.931	22.277	1.984	18.109	0.081	0.977	6000.0
26	3.507	19.781	1.75	15.324	0.096	0.988	6000.0
27	5.199	28.547	2.476	23.482	0.131	0.974	6000.0
28	4.664	26.246	2.191	21.279	0.122	0.973	6000.0
29	3.652	20.187	1.606	15.481	0.08	0.986	6000.0
30	3.246	18.068	1.482	12.908	0.094	0.99	6000.0
31	3.942	22.313	1.891	17.755	0.093	0.98	6000.0
32	4.917	27.572	2.41	22.318	0.117	0.975	6000.0
33	2.98	16.883	1.483	13.638	0.073	0.989	6000.0
34	2.512	14.126	1.258	12.136	0.055	0.991	6000.0
35	5.206	28.335	2.521	23.756	0.125	0.964	6000.0
36	3.207	17.949	1.498	13.563	0.077	0.991	6000.0
37	4.833	27.587	2.408	21.635	0.111	0.979	6000.0
38	3.397	18.679	1.631	14.717	0.094	0.987	6000.0
39	3.9	22.206	1.829	16.737	0.112	0.982	6000.0
40	2.028	11.259	1.04	9.433	0.049	0.994	6000.0
41	1.867	10.279	0.952	8.463	0.061	0.993	6000.0
42	3.918	21.782	1.917	17.501	0.09	0.983	6000.0
43	4.853	26.789	2.29	21.334	0.119	0.976	6000.0
44	3.543	19.621	1.659	15.447	0.086	0.984	6000.0
45	4.581	25.989	2.22	20.658	0.125	0.98	6000.0
46	4.322	24.504	2.214	21.446	0.089	0.975	6000.0
47	2.659	14.966	1.285	11.908	0.059	0.992	6000.0
48	4.357	24.461	2.254	20.244	0.082	0.974	6000.0
49	4.168	23.279	1.862	16.619	0.108	0.987	6000.0
50	4.153	23.373	2.142	19.78	0.067	0.978	6000.0
51	3.111	17.661	1.525	13.17	0.077	0.99	6000.0
52	5.633	31.586	2.735	26.803	0.14	0.959	6000.0
53	3.459	19.238	1.749	14.956	0.083	0.988	6000.0
54	3.346	18.753	1.605	14.427	0.088	0.989	6000.0
55	4.087	23.51	1.968	18.837	0.105	0.983	6000.0
56	4.471	25.199	2.079	20.68	0.093	0.975	6000.0
57	3.392	19.348	1.611	15.908	0.096	0.983	6000.0
58	2.565	14.359	1.355	11.484	0.058	0.992	6000.0
59	4.37	24.541	1.94	18.26	0.12	0.98	6000.0
60	4.671	27.35	2.458	22.38	0.085	0.965	6000.0
61	3.732	20.936	1.849	17.003	0.097	0.977	6000.0
62	4.457	24.685	2.003	17.764	0.116	0.984	6000.0
63	2.797	15.475	1.334	11.832	0.069	0.993	6000.0
