NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
971	2.811	15.679	1.361	13.274	0.051	0.986	6000.0
972	1.762	9.203	0.851	8.133	0.02	0.994	11000.0
973	1.811	10.139	0.912	8.887	0.037	0.994	6000.0
974	1.812	10.308	1.037	9.044	0.04	0.994	6000.0
975	1.794	10.03	0.885	7.559	0.022	0.997	6000.0
976	2.248	12.694	1.102	9.561	0.047	0.994	6000.0
977	1.926	10.665	0.975	9.092	0.04	0.994	6000.0
978	1.537	8.507	0.904	8.133	0.04	0.995	6000.0
979	0.924	5.696	0.543	4.867	0.016	0.997	6000.0
980	2.108	11.805	1.048	9.302	0.058	0.994	6000.0
981	2.993	16.732	1.475	13.641	0.066	0.987	6000.0
982	2.012	11.369	0.991	9.183	0.04	0.994	15000.0
983	2.533	14.86	1.235	12.089	0.049	0.988	6000.0
984	2.324	13.234	1.21	11.017	0.052	0.993	6000.0
985	1.831	9.969	0.972	8.496	0.034	0.996	6000.0
986	2.475	13.933	1.313	12.295	0.06	0.991	6000.0
987	1.913	10.75	0.997	8.543	0.034	0.996	6000.0
988	3.151	17.884	1.578	15.181	0.053	0.983	6000.0
989	1.813	10.146	0.892	8.234	0.026	0.995	6000.0
990	2.319	13.622	1.287	11.675	0.042	0.993	6000.0
991	0.617	3.599	0.374	3.316	0.014	0.999	6000.0
992	1.644	9.46	0.887	7.761	0.026	0.996	6000.0
993	2.04	11.143	1.012	9.122	0.039	0.996	6000.0
994	1.708	9.342	0.939	8.291	0.039	0.993	6000.0
995	2.259	12.936	1.151	10.434	0.039	0.994	6000.0
996	1.928	10.677	0.944	8.816	0.041	0.995	6000.0
997	2.433	13.215	1.178	10.877	0.038	0.991	6000.0
998	2.362	13.16	1.187	11.076	0.032	0.993	6000.0
999	2.785	15.565	1.433	12.676	0.05	0.992	6000.0
1000	2.308	13.23	1.286	11.33	0.028	0.994	6000.0
