NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
116	6.124	20.848	2.63	21.328	0.053	0.968	6000.0
117	5.681	19.393	2.434	18.555	0.055	0.979	6000.0
118	4.922	16.896	2.038	17.202	0.035	0.981	6000.0
119	6.116	20.844	2.719	21.623	0.06	0.969	6000.0
120	6.195	21.207	2.755	22.209	0.055	0.971	6000.0
121	6.05	20.804	2.551	21.281	0.046	0.971	6000.0
122	5.281	18.05	2.258	18.03	0.048	0.975	6000.0
123	5.281	17.996	2.368	19.598	0.042	0.976	6000.0
124	5.238	18.016	2.28	17.897	0.048	0.98	6000.0
125	5.116	17.553	2.252	18.012	0.056	0.979	6000.0
126	6.643	22.772	2.807	22.041	0.062	0.973	6000.0
127	5.525	18.909	2.401	19.053	0.049	0.976	6000.0
128	6.37	21.843	2.625	19.666	0.058	0.977	6000.0
129	5.173	17.747	2.084	16.532	0.041	0.983	6000.0
130	4.831	16.587	2.02	15.942	0.039	0.984	6000.0
131	5.917	20.225	2.674	20.881	0.043	0.975	6000.0
132	6.358	21.814	2.711	21.685	0.059	0.965	6000.0
133	6.686	22.841	2.908	23.44	0.056	0.963	6000.0
134	4.664	15.956	1.994	15.75	0.054	0.984	10000.0
135	4.84	16.621	2.011	16.996	0.037	0.978	6000.0
136	6.561	22.507	2.767	22.245	0.072	0.97	6000.0
137	5.565	19.07	2.26	17.859	0.049	0.982	8000.0
138	5.811	19.93	2.637	21.602	0.042	0.972	6000.0
139	6.12	21.012	2.739	21.626	0.058	0.972	6000.0
140	4.661	16.046	1.905	14.636	0.041	0.985	6000.0
141	4.348	14.94	1.878	14.225	0.037	0.988	6000.0
142	6.058	20.85	2.626	21.026	0.054	0.972	6000.0
143	5.039	17.198	2.183	16.844	0.044	0.981	6000.0
144	5.212	17.968	2.168	17.334	0.043	0.978	6000.0
145	6.326	21.722	2.573	20.868	0.051	0.977	6000.0
146	6.392	21.935	2.685	20.696	0.064	0.972	6000.0
147	7.238	24.928	3.101	24.255	0.075	0.962	6000.0
148	5.898	20.216	2.523	20.067	0.051	0.976	6000.0
149	5.903	20.194	2.392	19.535	0.054	0.977	6000.0
150	6.801	23.363	2.808	22.666	0.074	0.966	6000.0
151	6.553	22.332	2.731	22.145	0.052	0.969	6000.0
152	5.883	20.167	2.45	19.926	0.051	0.973	6000.0
153	4.649	15.883	1.987	16.709	0.038	0.982	6000.0
154	5.595	19.145	2.282	18.672	0.045	0.976	6000.0
155	4.295	14.75	1.767	14.214	0.033	0.987	6000.0
156	5.033	17.286	2.092	16.542	0.044	0.982	6000.0
157	4.533	15.558	1.872	14.75	0.037	0.988	9000.0
158	5.609	19.137	2.38	19.25	0.041	0.978	6000.0
159	6.356	21.796	2.602	21.294	0.054	0.967	6000.0
160	5.202	17.837	2.052	17.711	0.054	0.978	6000.0
161	6.092	20.957	2.448	19.561	0.059	0.977	6000.0
162	4.793	16.437	2.025	15.641	0.048	0.987	6000.0
163	7.139	24.417	3.082	24.344	0.064	0.966	6000.0
164	5.339	18.266	2.271	18.145	0.045	0.978	6000.0
165	5.973	20.399	2.613	21.372	0.058	0.97	6000.0
166	4.708	16.161	1.949	16.539	0.032	0.982	6000.0
167	5.168	17.637	2.099	16.309	0.043	0.981	6000.0
168	4.888	16.708	2.162	17.747	0.041	0.978	6000.0
169	6.435	22.138	2.662	21.489	0.07	0.969	6000.0
170	5.041	17.292	2.086	17.246	0.047	0.979	6000.0
171	7.078	24.236	2.991	23.9	0.057	0.966	6000.0
172	5.912	20.176	2.382	19.56	0.057	0.974	6000.0
173	4.42	15.138	1.867	15.089	0.026	0.988	6000.0
174	6.83	23.357	2.796	22.352	0.072	0.968	6000.0
175	4.946	16.93	2.165	18.413	0.037	0.974	6000.0
176	5.633	19.28	2.374	19.898	0.048	0.971	6000.0
177	4.97	16.957	2.115	16.971	0.046	0.983	6000.0
178	5.552	19.001	2.439	19.383	0.043	0.978	6000.0
179	5.134	17.516	2.208	17.72	0.047	0.977	6000.0
180	6.38	21.744	2.732	21.801	0.054	0.973	6000.0
181	6.908	23.68	2.962	23.741	0.069	0.963	6000.0
182	6.167	21.093	2.808	23.121	0.04	0.968	6000.0
183	5.459	18.687	2.267	18.255	0.047	0.975	6000.0
184	6.559	22.334	3.035	23.088	0.052	0.968	6000.0
185	5.774	19.814	2.46	19.948	0.05	0.977	6000.0
186	5.84	19.992	2.518	19.614	0.05	0.973	6000.0
187	5.206	17.729	2.268	16.632	0.041	0.984	6000.0
188	5.928	20.338	2.59	21.487	0.051	0.972	6000.0
189	6.811	23.218	3.131	25.092	0.056	0.958	6000.0
190	5.164	17.786	2.071	16.988	0.053	0.982	6000.0
191	5.337	18.266	2.178	17.277	0.044	0.981	6000.0
192	5.391	18.51	2.385	19.402	0.042	0.975	6000.0
193	6.71	22.963	2.826	22.394	0.055	0.969	6000.0
194	5.052	17.364	2.29	17.526	0.042	0.98	6000.0
195	7.768	26.568	3.334	26.359	0.07	0.96	6000.0
196	5.407	18.56	2.195	18.643	0.05	0.975	6000.0
197	4.987	17.149	2.261	18.007	0.041	0.979	6000.0
198	4.344	14.796	1.961	15.417	0.028	0.984	6000.0
199	6.548	22.34	2.751	21.678	0.068	0.962	9000.0
200	5.933	20.236	2.485	19.473	0.047	0.977	6000.0
201	7.19	24.585	3.239	25.468	0.056	0.958	6000.0
202	5.633	19.212	2.489	19.449	0.045	0.976	6000.0
203	6.732	23.132	2.803	22.238	0.054	0.967	6000.0
204	5.311	18.187	2.148	17.504	0.037	0.982	6000.0
205	5.106	17.555	2.031	16.46	0.044	0.984	6000.0
206	6.557	22.471	2.615	20.808	0.069	0.973	6000.0
207	4.868	16.663	2.105	16.685	0.046	0.979	6000.0
208	4.669	15.881	2.008	16.188	0.04	0.98	6000.0
209	4.542	15.515	1.966	15.585	0.033	0.982	6000.0
210	5.008	17.193	2.021	17.848	0.038	0.976	6000.0
211	6.07	20.874	2.561	20.964	0.056	0.973	6000.0
212	6.369	21.754	2.638	18.882	0.061	0.981	6000.0
213	5.836	19.864	2.488	18.929	0.053	0.976	6000.0
214	6.453	22.149	2.796	22.889	0.053	0.969	6000.0
215	5.226	17.789	2.302	17.706	0.045	0.98	6000.0
216	4.798	16.446	2.055	16.634	0.04	0.982	6000.0
217	6.434	21.861	2.841	22.021	0.057	0.97	6000.0
218	6.252	21.421	2.644	21.781	0.057	0.969	6000.0
219	5.157	17.796	2.11	16.68	0.059	0.982	6000.0
220	5.537	18.961	2.367	19.024	0.035	0.977	6000.0
221	6.218	21.343	2.608	19.646	0.056	0.97	7000.0
222	5.807	19.882	2.683	20.058	0.044	0.976	6000.0
223	6.612	22.596	2.933	22.761	0.059	0.966	6000.0
224	5.357	18.327	2.109	16.657	0.049	0.983	6000.0
225	6.03	20.68	2.567	20.607	0.052	0.976	6000.0
226	4.834	16.655	1.896	14.76	0.042	0.986	6000.0
227	5.215	17.968	2.181	18.315	0.049	0.976	6000.0
228	6.348	21.638	2.747	21.409	0.055	0.971	6000.0
229	5.607	19.178	2.311	18.888	0.044	0.978	6000.0
230	6.483	22.327	2.866	23.178	0.051	0.967	6000.0
231	5.131	17.581	2.026	15.526	0.058	0.985	6000.0
232	6.793	23.405	3.034	23.762	0.063	0.963	6000.0
233	5.089	17.446	2.132	16.419	0.046	0.985	6000.0
234	7.063	24.284	3.022	23.773	0.074	0.962	6000.0
235	6.858	23.337	3.285	24.962	0.066	0.956	6000.0
236	5.549	19.011	2.368	18.894	0.041	0.978	6000.0
237	7.233	24.774	3.129	24.636	0.071	0.963	6000.0
238	6.753	23.154	2.929	23.297	0.067	0.965	6000.0
239	4.414	15.1	1.784	14.399	0.042	0.986	6000.0
240	6.629	22.657	3.023	22.366	0.071	0.972	6000.0
241	6.611	22.617	2.954	23.881	0.054	0.965	6000.0
242	6.394	22.107	2.587	21.847	0.062	0.964	6000.0
243	6.553	22.41	2.689	22.258	0.058	0.969	6000.0
244	7.449	25.549	3.258	25.051	0.074	0.961	6000.0
245	6.599	22.638	2.979	23.832	0.049	0.966	6000.0
